2022-11-14 08:06:49.157 [info] Extension host with pid 690 started
2022-11-14 08:06:49.172 [info] Lock '/opt/ml/.vscode-server/data/User/workspaceStorage/d41782df9d061af16721e03391fada4e/vscode.lock': Lock acquired.
2022-11-14 08:06:49.234 [info] ExtensionService#_doActivateExtension vscode.git-base, startup: true, activationEvent: '*', root cause: vscode.git
2022-11-14 08:06:49.307 [error] No bundle location found for extension vscode.git-base
2022-11-14 08:06:49.327 [info] ExtensionService#_doActivateExtension vscode.git, startup: true, activationEvent: '*'
2022-11-14 08:06:49.328 [info] ExtensionService#_doActivateExtension vscode.github, startup: true, activationEvent: '*'
2022-11-14 08:06:49.361 [error] No bundle location found for extension vscode.git
2022-11-14 08:06:49.522 [error] No bundle location found for extension vscode.github
2022-11-14 08:06:49.536 [info] ExtensionService#_doActivateExtension vscode.debug-auto-launch, startup: false, activationEvent: 'onStartupFinished'
2022-11-14 08:06:49.536 [info] ExtensionService#_doActivateExtension vscode.emmet, startup: false, activationEvent: 'onStartupFinished'
2022-11-14 08:06:49.537 [info] ExtensionService#_doActivateExtension vscode.merge-conflict, startup: false, activationEvent: 'onStartupFinished'
2022-11-14 08:06:49.537 [info] Eager extensions activated
2022-11-14 08:06:49.708 [error] No bundle location found for extension vscode.debug-auto-launch
2022-11-14 08:06:49.708 [error] No bundle location found for extension vscode.emmet
2022-11-14 08:06:49.708 [error] No bundle location found for extension vscode.merge-conflict
2022-11-14 08:09:01.451 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2070
2022-11-14 08:09:01.806 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2070
2022-11-14 08:09:06.322 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2070
2022-11-14 08:09:11.390 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2070
2022-11-14 08:09:19.877 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2070
2022-11-14 08:09:24.949 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2070
2022-11-14 08:09:30.032 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2070
2022-11-14 08:09:35.104 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2070
2022-11-14 08:09:41.849 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2070
2022-11-14 08:09:46.930 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2071
2022-11-14 08:09:52.004 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2071
2022-11-14 08:09:57.070 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2071
2022-11-14 08:10:02.144 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2071
2022-11-14 08:10:07.215 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2071
2022-11-14 08:10:12.281 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2071
2022-11-14 08:10:17.700 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2071
2022-11-14 08:10:22.772 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2072
2022-11-14 08:10:27.842 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2072
2022-11-14 08:10:32.939 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2072
2022-11-14 08:10:38.011 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2072
2022-11-14 08:10:43.354 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2072
2022-11-14 08:10:48.427 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2072
2022-11-14 08:10:53.498 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2072
2022-11-14 08:10:58.569 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2072
2022-11-14 08:11:03.636 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2072
2022-11-14 08:11:30.710 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2072
2022-11-14 08:11:35.781 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2072
2022-11-14 08:11:40.855 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2072
2022-11-14 08:11:45.922 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2072
2022-11-14 08:11:50.989 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2072
2022-11-14 08:11:56.061 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2072
2022-11-14 08:12:01.128 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2071
2022-11-14 08:12:06.197 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2071
2022-11-14 08:12:12.641 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2071
2022-11-14 08:12:18.544 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2071
2022-11-14 08:12:35.368 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2071
2022-11-14 08:12:40.451 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2071
2022-11-14 08:12:45.524 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2071
2022-11-14 08:12:50.618 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2071
2022-11-14 08:12:55.687 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2071
2022-11-14 08:13:00.757 [warning] [Decorations] CAPPING events from decorations provider vscode.git 2071
2022-11-14 08:13:02.697 [info] Extension host terminating: received terminate message from renderer
2022-11-14 08:13:02.697 [info] Lock '/opt/ml/.vscode-server/data/User/workspaceStorage/d41782df9d061af16721e03391fada4e/vscode.lock': Marking the lockfile as scheduled to be released in 6000 ms.
2022-11-14 08:13:02.708 [info] Extension host with pid 690 exiting with code 0
